City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,279.52,91,97,14.0,TF,1739552964
1,harstad,68.799,16.5293,268.38,77,44,4.47,NO,1739553199
2,puerto natales,-51.7236,-72.4875,287.4,44,40,9.26,CL,1739553200
3,adamstown,-25.066,-130.1015,298.42,83,100,9.85,PN,1739553201
4,isafjordur,66.0755,-23.124,271.59,84,99,3.74,IS,1739553202
5,vuktyl,63.8567,57.3094,249.28,100,50,1.49,RU,1739553004
6,resplendor,-19.3256,-41.2553,307.54,39,12,1.91,BR,1739553206
7,albany,42.6001,-73.9662,270.56,59,68,2.24,US,1739553160
8,naracoorte,-36.9579,140.7383,287.0,62,100,5.12,AU,1739553208
9,saint-philippe,-21.3585,55.7679,300.58,86,54,3.95,RE,1739553209
10,tiksi,71.6872,128.8694,243.62,100,94,0.88,RU,1739553210
11,udachny,66.4167,112.4,238.9,100,89,1.0,RU,1739553211
12,bethel,41.3712,-73.414,274.76,44,20,5.14,US,1739553212
13,utrik,11.2278,169.8474,299.16,70,6,6.19,MH,1739553213
14,ulsteinvik,62.3432,5.8487,271.22,70,11,1.73,NO,1739553215
15,grytviken,-54.2811,-36.5092,276.19,67,65,5.1,GS,1739553216
16,blackmans bay,-43.0167,147.3167,284.22,92,97,2.15,AU,1739553218
17,puerto santa,-8.9906,-78.6456,298.96,71,46,4.27,PE,1739553219
18,papatowai,-46.5619,169.4708,286.28,97,7,2.41,NZ,1739553220
19,forster,-32.1667,152.5167,296.14,92,100,3.55,AU,1739553221
20,shchuchinsk,52.9333,70.2,258.74,98,89,3.21,KZ,1739553223
21,bredasdorp,-34.5322,20.0403,294.32,54,0,5.09,ZA,1739553224
22,metu,8.3,35.5833,293.42,54,57,1.05,ET,1739553225
23,puerto ayora,-0.7393,-90.3518,299.23,79,100,4.03,EC,1739553226
24,lebu,-37.6167,-73.65,289.19,73,0,7.41,CL,1739553227
25,belen,36.4891,36.2233,278.92,51,20,3.09,TR,1739553228
26,afaahiti,-17.75,-149.2833,299.87,73,92,4.38,PF,1739553229
27,edinburgh of the seven seas,-37.0676,-12.3116,293.04,93,14,13.16,SH,1739553231
28,severo-yeniseyskiy,60.3725,93.0408,254.62,99,99,1.48,RU,1739553136
29,vilyuchinsk,52.9306,158.4028,273.3,91,100,15.73,RU,1739553233
30,whitehorse,60.7161,-135.0538,248.12,96,94,3.16,CA,1739553016
31,galliano,29.4422,-90.2992,289.15,72,100,5.66,US,1739553236
32,codrington,-38.2667,141.9667,287.28,67,100,8.89,AU,1739553237
33,petropavlovsk-kamchatsky,53.0452,158.6483,272.48,74,100,12.0,RU,1739553239
34,bocas del toro,9.3333,-82.25,298.65,81,100,5.08,PA,1739553240
35,waitangi,-43.9535,-176.5597,288.05,96,79,2.11,NZ,1739553241
36,toliara,-23.35,43.6667,300.9,83,7,2.73,MG,1739553243
37,bilibino,68.0546,166.4372,262.34,96,100,1.82,RU,1739553244
38,margaret river,-33.95,115.0667,288.52,75,0,5.79,AU,1739553247
39,ca mau,9.1769,105.15,296.98,88,33,1.82,VN,1739553248
40,danilov,58.1908,40.1717,263.08,94,53,2.21,RU,1739553249
41,kathmandu,27.7167,85.3167,283.27,81,75,1.54,NP,1739553139
42,cockburn town,21.4612,-71.1419,298.26,78,8,9.82,TC,1739553251
43,punta arenas,-53.15,-70.9167,286.21,54,75,16.46,CL,1739553141
44,taoudenni,22.6783,-3.9836,303.06,13,93,7.17,ML,1739553253
45,ouadda,8.0777,22.4007,305.05,21,65,1.59,CF,1739553254
46,georgetown,5.4112,100.3354,302.11,81,20,2.06,MY,1739552998
47,trondheim,63.4305,10.3951,270.92,90,100,0.45,NO,1739553112
48,saint-pierre,-21.3393,55.4781,301.97,70,0,7.72,RE,1739553258
49,morogoro,-6.8167,37.6667,299.51,56,55,2.14,TZ,1739553259
50,kayangel,8.0823,134.7173,300.87,77,100,8.34,PW,1739553260
51,port elizabeth,-33.918,25.5701,292.77,85,0,4.02,ZA,1739553261
52,east london,-33.0153,27.9116,295.17,71,94,4.44,ZA,1739553262
53,buka,40.8108,69.1986,279.96,50,90,2.53,UZ,1739553263
54,port lincoln,-34.7333,135.8667,290.47,56,24,6.77,AU,1739553264
55,fale old settlement,-9.3852,-171.2468,301.16,71,27,5.46,TK,1739553266
56,arrifes,37.7667,-25.7,284.29,50,20,12.35,PT,1739553267
57,lihue,21.9789,-159.3672,294.92,94,0,3.6,US,1739553268
58,pelabuhanratu,-6.9875,106.5514,299.15,86,98,0.66,ID,1739553270
59,baran,25.1,76.5167,294.27,26,0,2.54,IN,1739553272
60,nevel'sk,46.6733,141.8633,266.81,70,100,7.34,RU,1739553273
61,nova sintra,14.8667,-24.7167,294.33,73,77,9.79,CV,1739553274
62,shingu,33.7333,135.9833,275.48,75,7,2.73,JP,1739553275
63,stanley,54.868,-1.6985,275.16,73,75,3.09,GB,1739553276
64,pindushi,62.9152,34.58,259.16,97,90,2.09,RU,1739553277
65,keflavik,64.0049,-22.5624,275.39,69,0,5.66,IS,1739553278
66,fort bragg,35.139,-79.006,282.06,41,0,4.63,US,1739553279
67,enewetak,11.3474,162.3373,299.77,68,42,4.0,MH,1739553281
68,ketchikan,55.3422,-131.6461,272.47,67,40,2.24,US,1739553282
69,umba,66.6871,34.3429,262.8,93,98,3.33,RU,1739553283
70,polyarnyy,69.1989,33.4478,269.18,60,100,9.93,RU,1739553284
71,ebaye,8.7748,167.7392,299.16,69,0,3.6,MH,1739553285
72,port mathurin,-19.6833,63.4167,301.07,75,60,3.51,MU,1739553286
73,troitskoye,52.9821,84.6757,255.95,100,100,1.16,RU,1739553288
74,acarau,-2.8856,-40.12,301.8,71,74,6.25,BR,1739553289
75,san clemente del tuyu,-36.3569,-56.7235,297.15,56,49,4.67,AR,1739553290
76,alaghsas,17.0187,8.0168,302.76,11,12,3.84,NE,1739553291
77,yellowknife,62.456,-114.3525,240.05,89,87,4.02,CA,1739553292
78,cortez,37.3489,-108.5859,274.09,93,100,4.63,US,1739553225
79,constantia,44.1833,28.65,277.53,86,62,5.65,RO,1739553295
80,ra's bayrut,33.9,35.4833,283.76,45,100,1.41,LB,1739553296
81,vorgashor,67.5833,63.95,236.58,100,41,1.49,RU,1739553297
